experiment,run_dir,layer,firing_rate,hidden_firing_rate,test_acc,time_steps,beta,threshold,input_gain
snn_cifar10,runs\snn_cifar10\20260526-195607,conv1,0.18885348107993197,0.18103208128457282,0.5602,20,0.95,1.5,1.0
snn_cifar10,runs\snn_cifar10\20260526-195607,conv2,0.133337940625,0.18103208128457282,0.5602,20,0.95,1.5,1.0
snn_cifar10,runs\snn_cifar10\20260526-195607,fc1,0.34074791666666665,0.18103208128457282,0.5602,20,0.95,1.5,1.0
snn_cifar10,runs\snn_cifar10\20260526-195607,fc2,0.42332803571428573,0.18103208128457282,0.5602,20,0.95,1.5,1.0
snn_cifar10,runs\snn_cifar10\20260526-195607,input,0.476580078125,0.18103208128457282,0.5602,20,0.95,1.5,1.0
hnn_cifar10,runs\hnn_cifar10\20260526-165217,conv2,0.22114345,0.2744461577181208,0.6081,10,0.95,0.5,1.0
hnn_cifar10,runs\hnn_cifar10\20260526-165217,fc1,0.4730574166666667,0.2744461577181208,0.6081,10,0.95,0.5,1.0
hnn_cifar10,runs\hnn_cifar10\20260526-165217,fc2,0.606962738095238,0.2744461577181208,0.6081,10,0.95,0.5,1.0
hnn_cifar10,runs\hnn_cifar10\20260526-165217,first_spike,0.30294920918367346,0.2744461577181208,0.6081,10,0.95,0.5,1.0
