experiment,run_dir,epochs,batch_size,time_steps,beta,threshold,input_gain,seed,best_epoch,best_val_acc,test_acc,test_loss,test_num_samples
snn_mnist_spike,experiments\e3_param_sweep_mnist\runs_time_steps\snn_mnist_spike\20260526-135427,3,128,5,0.95,0.5,1.0,42,3,0.9751666666666666,0.98,0.06183970259651542,10000
snn_mnist_spike,experiments\e3_param_sweep_mnist\runs\snn_mnist_spike\20260526-130136,3,128,10,0.95,0.5,1.0,42,3,0.9773333333333334,0.9813,0.06209638096727431,10000
snn_mnist_spike,experiments\e3_param_sweep_mnist\runs_time_steps\snn_mnist_spike\20260526-135842,3,128,20,0.95,0.5,1.0,42,3,0.9763333333333334,0.9803,0.06004015124812722,10000
hnn_mnist,experiments\e3_param_sweep_mnist\runs_time_steps\hnn_mnist\20260526-141227,3,128,5,0.95,0.5,1.0,42,3,0.9768333333333333,0.979,0.0681536892876029,10000
hnn_mnist,experiments\e3_param_sweep_mnist\runs\hnn_mnist\20260526-131512,3,128,10,0.95,0.5,1.0,42,3,0.978,0.9827,0.05800428588949144,10000
hnn_mnist,experiments\e3_param_sweep_mnist\runs_time_steps\hnn_mnist\20260526-141432,3,128,20,0.95,0.5,1.0,42,3,0.9803333333333333,0.9836,0.05607462804019451,10000
